Area_ID;Lat;Long;D.albiventris;D.aurita;D.novemcinctus;C. unicinctus;E.sextinctus;N.nasua;E.barbara;Mazama sp.;T.tetradactyla;M.tridactyla;L.pardalis;L. guttulus;L. wiedii;S.brasiliensis;P.tajacu;C.thous;D.azarae;C.paca;S. apella;P.cancrivorus;P.concolor;T. terrestris;L.longicaudis;C.nigrifrons;P.yagouarondi;S.venaticus;C.semistriatus
PAR;-23,347202;-48,792991;1;1;1;0;0;1;0;0;1;1;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0
ALV;-22,474961;-49,745232;1;1;1;0;0;1;1;1;1;0;1;0;1;1;0;1;0;0;1;0;0;0;0;0;0;0;0
CSA;-22,227009;-52,227466;1;0;1;1;0;0;0;1;0;0;0;0;0;1;1;0;1;0;0;0;1;1;0;0;0;0;0
PIC;-23,013777;-46,204182;1;1;0;0;0;1;1;1;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0
PIA;-21,591378;-50,680331;1;0;1;1;1;1;1;1;1;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0
PIR;-22,766981;-47,820128;1;1;1;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;1;1;1;0;0;0;0;0;0
CPT;-20,379832;-47,384203;1;0;1;1;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1
IPO;-23,443846;-47,638283;1;1;1;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
BUR;-20,227689;-47,742156;1;0;1;0;0;1;0;0;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
VGL;-20,398004;-50,152154;1;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0
CHA;-22,452002;-47,818782;1;0;1;0;1;1;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0
SPT;-22,684989;-49,619231;1;0;1;0;0;1;1;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
ANH;-22,849218;-48,241028;1;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0
COR;-22,249638;-47,613615;1;0;1;0;0;1;1;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
CUN;-23,032504;-44,956943;1;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
ITA;-23,162279;-48,624395;1;1;1;0;0;1;1;1;1;1;1;1;0;0;1;0;0;1;1;0;1;0;0;0;0;1;0
BAG;-22,90552;-47,968532;1;0;1;1;0;1;1;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0
BOT;-22,811613;-48,414894;1;0;1;0;0;1;1;1;0;1;0;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;0
MLO;-22,954985;-45,796613;1;1;1;1;0;0;1;0;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0
ATI;-23,190747;-46,508544;1;1;1;0;0;0;1;0;0;0;1;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0
